@RELATION WhereIsSmartphone
@ATTRIBUTE X_NO_G_AVERAGE NUMERIC 
@ATTRIBUTE X_NO_G_VARIANCE NUMERIC 
@ATTRIBUTE X_NO_G_STD NUMERIC 
@ATTRIBUTE X_NO_G_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE X_NO_G_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE Y_NO_G_AVERAGE NUMERIC 
@ATTRIBUTE Y_NO_G_VARIANCE NUMERIC 
@ATTRIBUTE Y_NO_G_STD NUMERIC 
@ATTRIBUTE Y_NO_G_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE Y_NO_G_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE Z_NO_G_AVERAGE NUMERIC 
@ATTRIBUTE Z_NO_G_VARIANCE NUMERIC 
@ATTRIBUTE Z_NO_G_STD NUMERIC 
@ATTRIBUTE Z_NO_G_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE Z_NO_G_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE V_NO_G_AVERAGE NUMERIC 
@ATTRIBUTE V_NO_G_VARIANCE NUMERIC 
@ATTRIBUTE V_NO_G_STD NUMERIC 
@ATTRIBUTE V_NO_G_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE V_NO_G_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_NO_G_Y_NO_G NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_Y_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_Y_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_Z_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_STD_X_NO_G_Y_NO_G NUMERIC 
@ATTRIBUTE RATIO_STD_X_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_STD_X_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_STD_Y_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_STD_Y_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_STD_Z_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_NO_G_Y_NO_G NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_Y_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_Y_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_Z_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_MIN_X_NO_G_Y_NO_G NUMERIC 
@ATTRIBUTE RATIO_MIN_X_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_MIN_X_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_MIN_Y_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_MIN_Y_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_MIN_Z_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_MAX_X_NO_G_Y_NO_G NUMERIC 
@ATTRIBUTE RATIO_MAX_X_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_MAX_X_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_MAX_Y_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_MAX_Y_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_MAX_Z_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_NO_G_Y_NO_G NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_Y_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_Y_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_Z_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE X_NO_G_Y_NO_G_Z_NO_G_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE X_NO_G_Y_NO_G_Z_NO_G_SIGNAL_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE CORRELATION_X_NO_G_Y_NO_G NUMERIC 
@ATTRIBUTE CORRELATION_X_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE CORRELATION_X_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE CORRELATION_Y_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE CORRELATION_Y_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE CORRELATION_Z_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE AMBIENT_TEMPERATURE_AVERAGE NUMERIC 
@ATTRIBUTE AMBIENT_TEMPERATURE_VARIANCE NUMERIC 
@ATTRIBUTE AMBIENT_TEMPERATURE_STD NUMERIC 
@ATTRIBUTE AMBIENT_TEMPERATURE_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE AMBIENT_TEMPERATURE_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE class {TASCA_DESTRA_DAVANTI_PANTALONI,TASCA_DESTRA_DIETRO_PANTALONI,TASCA_SINISTRA_DAVANTI_PANTALONI,TASCA_SINISTRA_DIETRO_PANTALONI,TASCA_GIACCA_ALTA,TASCA_GIACCA_BASSA}
@DATA
0.3917,1.433,1.1971,6.3118,-0.6928,0.1477,3.6065,1.8991,8.6656,-0.7415,0.2072,1.2374,1.1124,5.4843,-0.5948,2.2424,1.4665,1.211,5.4733,0.0924,2.6516,1.8907,0.1747,0.7131,0.0659,0.0924,0.6303,1.0761,0.9885,1.7072,1.5682,0.9186,0.3973,1.1581,0.9772,2.9146,2.4593,0.8438,0.7002,1.263,-4.6337,1.8038,-6.6182,-3.6689,0.7493,1.0842,0.6182,1.447,0.8251,0.5702,0.7284,1.1509,1.1532,1.5801,1.5832,1.002,0.0034,3.3993,0.7939,-0.1249,0.438,-0.0477,0.3124,-0.1405,?,?,?,?,?,TASCA_SINISTRA_DAVANTI_PANTALONI
0.0469,0.8198,0.9054,3.0762,-1.4135,-0.0971,1.011,1.0055,4.011,-1.0113,-0.08,0.1727,0.4155,1.4853,-2.2843,1.2619,0.429,0.655,2.2113,0.0588,-0.4833,-0.587,0.0372,1.2144,-0.0769,-0.0634,0.9005,2.179,1.3823,2.4198,1.5351,0.6344,0.8108,4.7479,1.9108,5.8556,2.3566,0.4025,0.8933,1.744,-13.0386,1.9523,-14.5954,-7.4762,0.6392,2.8185,0.5425,4.4097,0.8488,0.1925,0.767,2.0712,1.3912,2.7005,1.8139,0.6717,0.0009,1.8948,0.1795,0.1234,-0.2879,-0.8111,-0.0435,-0.2899,?,?,?,?,?,TASCA_SINISTRA_DAVANTI_PANTALONI
0.1945,6.1051,2.4708,12.0517,-1.0262,-0.5766,6.3245,2.5149,11.6579,-1.4511,-0.4703,8.6528,2.9416,21.0259,-1.1233,4.0498,5.2732,2.2964,11.0934,0.046,-0.3373,-0.4136,0.048,1.2262,-0.1424,-0.1161,0.9825,0.84,1.076,0.8549,1.0952,1.281,0.9653,0.7056,1.1577,0.7309,1.1994,1.6409,0.8844,0.5487,-11.3984,0.6205,-12.8884,-20.7722,1.2505,0.6006,0.5115,0.4803,0.409,0.8515,1.0338,0.5732,1.0864,0.5545,1.0509,1.8953,0.0055,6.0969,0.1897,0.2164,-0.0726,-0.1181,-0.3406,-0.1968,?,?,?,?,?,TASCA_SINISTRA_DAVANTI_PANTALONI
-0.3275,3.667,1.9149,8.4119,-0.5617,-0.0724,2.0524,1.4326,5.4896,-0.712,-0.1363,0.7556,0.8692,3.9266,-1.5665,2.4285,0.7085,0.8417,4.7319,0.2108,4.5212,2.4022,-0.1349,0.5313,-0.0298,-0.0561,1.3367,2.203,2.275,1.6481,1.702,1.0327,1.7867,4.8532,5.1754,2.7164,2.8967,1.0664,1.3252,1.2624,-2.3933,0.9526,-1.806,-1.8958,1.6798,3.5206,0.8983,2.0958,0.5348,0.2552,1.5323,2.1423,1.7777,1.3981,1.1601,0.8298,0.0026,3.7265,-0.1004,-0.2244,0.0703,-0.7771,0.4429,-0.3377,?,?,?,?,?,TASCA_SINISTRA_DAVANTI_PANTALONI
-1.5086,7.2504,2.6927,14.9435,-1.6361,-1.0745,4.7117,2.1706,12.0412,-1.1708,-0.2525,8.6146,2.9351,12.3543,-1.1381,4.3899,4.8002,2.1909,10.1906,0.053,1.404,5.9756,-0.3437,4.256,-0.2448,-0.0575,1.2405,0.9174,1.229,0.7396,0.9907,1.3396,1.5388,0.8416,1.5104,0.5469,0.9816,1.7946,1.4281,1.4104,-16.2504,0.9876,-11.3787,-11.522,1.022,0.9811,0.5268,0.96,0.5155,0.5369,1.241,1.2096,1.4664,0.9747,1.1816,1.2123,0.0131,6.6246,0.3817,-0.4697,-0.6402,0.1977,-0.3183,0.1491,?,?,?,?,?,TASCA_SINISTRA_DAVANTI_PANTALONI
-2.1153,12.2143,3.4949,13.011,-11.2096,-1.373,6.1121,2.4723,10.2045,-2.2401,-0.7852,5.2602,2.2935,9.8994,-1.4468,4.4304,10.9344,3.3067,13.2339,0.0406,1.5407,2.6941,-0.4775,1.7486,-0.3099,-0.1772,1.4136,1.5238,1.0569,1.0779,0.7477,0.6936,1.9984,2.322,1.1171,1.1619,0.559,0.4811,1.6932,2.0407,-21.3507,1.2053,-12.61,-10.4625,0.3384,0.2634,0.0773,0.7785,0.2283,0.2933,1.275,1.3143,0.9832,1.0308,0.7711,0.748,0.0203,6.5409,0.6484,0.0638,-0.967,0.0697,-0.7167,-0.1009,?,?,?,?,?,TASCA_SINISTRA_DAVANTI_PANTALONI
0.0853,17.5159,4.1852,20.874,-0.7519,0.9046,7.5334,2.7447,13.0203,-0.908,-1.8086,13.8983,3.728,19.0385,-1.6247,5.9927,7.1319,2.6706,11.7712,0.0524,0.0943,-0.0472,0.0142,-0.5002,0.151,-0.3018,1.5248,1.1226,1.5672,0.7362,1.0278,1.396,2.3251,1.2603,2.456,0.542,1.0563,1.9488,1.4459,0.7602,-13.7759,0.5258,-9.5278,-18.1211,1.7461,1.6426,0.9592,0.9408,0.5494,0.584,1.6032,1.0964,1.7733,0.6839,1.1061,1.6174,0.0147,8.7703,-0.1597,-0.302,0.3058,0.0073,0.0967,-0.5493,?,?,?,?,?,TASCA_SINISTRA_DAVANTI_PANTALONI
1.1161,13.3586,3.6549,22.432,-0.4193,0.0993,6.9698,2.64,12.3517,-0.7571,-1.6594,13.5642,3.683,24.5495,-0.9234,5.4722,7.9571,2.8208,19.8467,0.0251,11.2345,-0.6726,0.204,-0.0599,0.0182,-0.3032,1.3844,0.9924,1.2957,0.7168,0.9359,1.3056,1.9166,0.9848,1.6788,0.5138,0.8759,1.7047,1.2451,0.5622,-12.9618,0.4515,-10.4098,-23.0539,2.2483,1.2383,0.7764,0.5508,0.3453,0.6269,1.8161,0.9137,1.1303,0.5031,0.6224,1.237,0.0145,8.369,-0.2232,0.6375,0.1943,-0.3513,0.2363,0.09,?,?,?,?,?,TASCA_SINISTRA_DAVANTI_PANTALONI
0.5266,3.3506,1.8305,7.9477,-0.5627,0.1511,2.6452,1.6264,6.1734,-0.883,-0.138,0.6284,0.7927,3.9602,-1.3182,2.4779,0.8036,0.8964,4.7598,0.2094,3.4857,-3.8151,0.2125,-1.0945,0.061,-0.0557,1.1255,2.3091,2.042,2.0517,1.8143,0.8843,1.2667,5.3318,4.1697,4.2093,3.2919,0.782,0.9886,1.2709,-2.2697,1.2855,-2.2959,-1.786,1.5513,2.9771,0.8447,1.9191,0.5445,0.2837,1.2874,2.0069,1.6698,1.5589,1.297,0.832,0.004,3.6358,0.3321,-0.3267,0.0382,-0.4872,0.409,-0.2818,?,?,?,?,?,TASCA_SINISTRA_DAVANTI_PANTALONI
0.4531,4.5355,2.1297,8.8761,-0.7443,0.1315,1.1775,1.0851,3.9732,-0.953,-0.0509,0.8874,0.942,4.1878,-1.1205,2.413,1.0029,1.0015,4.5722,0.1493,3.4458,-8.9066,0.1878,-2.5848,0.0545,-0.0211,1.9626,2.2608,2.1266,1.1519,1.0835,0.9406,3.8518,5.1112,4.5222,1.327,1.174,0.8848,1.9535,1.7116,-4.7191,0.8761,-2.4157,-2.7572,2.5012,2.5766,0.9468,1.0302,0.3785,0.3674,2.234,2.1195,1.9413,0.9488,0.869,0.9159,0.0035,3.5659,0.357,-0.3908,0.0483,-0.5868,0.1074,-0.2689,?,?,?,?,?,TASCA_SINISTRA_DAVANTI_PANTALONI
0.3505,2.9927,1.7299,7.3879,-0.5971,0.1662,2.116,1.4546,5.5779,-0.8438,-0.0371,0.8641,0.9296,3.8372,-1.3391,2.3097,0.7897,0.8887,4.2448,0.1841,2.1093,-9.4431,0.1518,-4.4769,0.0719,-0.0161,1.1893,1.861,1.9467,1.5648,1.6369,1.0461,1.4143,3.4632,3.7896,2.4486,2.6794,1.0942,1.082,1.2574,-2.8837,1.1621,-2.6651,-2.2934,1.5291,2.8198,0.8891,1.8441,0.5815,0.3153,1.3245,1.9254,1.7405,1.4536,1.314,0.904,0.0027,3.487,0.3839,-0.409,0.0654,-0.4001,0.1497,-0.1026,?,?,?,?,?,TASCA_SINISTRA_DAVANTI_PANTALONI
1.2663,14.3294,3.7854,28.1433,-0.2679,-0.6862,7.0936,2.6634,13.3136,-0.6933,-0.3335,4.4136,2.1009,8.8625,-0.8596,4.4347,8.3559,2.8907,21.7721,0.0311,-1.8455,-3.7973,0.2855,2.0576,-0.1547,-0.0752,1.4213,1.8018,1.3095,1.2678,0.9214,0.7268,2.0201,3.2466,1.7149,1.6072,0.8489,0.5282,1.0911,1.4517,-8.5014,1.3305,-7.7918,-5.8562,2.823,4.6575,0.9877,1.6499,0.3499,0.2121,2.1139,3.1756,1.2926,1.5022,0.6115,0.4071,0.0106,6.6441,0.0444,-0.2608,0.6353,0.2039,-0.0739,0.039,?,?,?,?,?,TASCA_SINISTRA_DIETRO_PANTALONI
