@RELATION WhereIsSmartphone
@ATTRIBUTE X_NO_G_AVERAGE NUMERIC 
@ATTRIBUTE X_NO_G_VARIANCE NUMERIC 
@ATTRIBUTE X_NO_G_STD NUMERIC 
@ATTRIBUTE X_NO_G_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE X_NO_G_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE Y_NO_G_AVERAGE NUMERIC 
@ATTRIBUTE Y_NO_G_VARIANCE NUMERIC 
@ATTRIBUTE Y_NO_G_STD NUMERIC 
@ATTRIBUTE Y_NO_G_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE Y_NO_G_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE Z_NO_G_AVERAGE NUMERIC 
@ATTRIBUTE Z_NO_G_VARIANCE NUMERIC 
@ATTRIBUTE Z_NO_G_STD NUMERIC 
@ATTRIBUTE Z_NO_G_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE Z_NO_G_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE V_NO_G_AVERAGE NUMERIC 
@ATTRIBUTE V_NO_G_VARIANCE NUMERIC 
@ATTRIBUTE V_NO_G_STD NUMERIC 
@ATTRIBUTE V_NO_G_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE V_NO_G_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_NO_G_Y_NO_G NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_Y_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_Y_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_Z_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_STD_X_NO_G_Y_NO_G NUMERIC 
@ATTRIBUTE RATIO_STD_X_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_STD_X_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_STD_Y_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_STD_Y_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_STD_Z_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_NO_G_Y_NO_G NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_Y_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_Y_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_Z_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_MIN_X_NO_G_Y_NO_G NUMERIC 
@ATTRIBUTE RATIO_MIN_X_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_MIN_X_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_MIN_Y_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_MIN_Y_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_MIN_Z_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_MAX_X_NO_G_Y_NO_G NUMERIC 
@ATTRIBUTE RATIO_MAX_X_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_MAX_X_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_MAX_Y_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_MAX_Y_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_MAX_Z_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_NO_G_Y_NO_G NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_Y_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_Y_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_Z_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE X_NO_G_Y_NO_G_Z_NO_G_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE X_NO_G_Y_NO_G_Z_NO_G_SIGNAL_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE CORRELATION_X_NO_G_Y_NO_G NUMERIC 
@ATTRIBUTE CORRELATION_X_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE CORRELATION_X_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE CORRELATION_Y_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE CORRELATION_Y_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE CORRELATION_Z_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE PRESSURE_AVERAGE NUMERIC 
@ATTRIBUTE PRESSURE_VARIANCE NUMERIC 
@ATTRIBUTE PRESSURE_STD NUMERIC 
@ATTRIBUTE PRESSURE_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE PRESSURE_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE class {TASCA_DESTRA_DAVANTI_PANTALONI,TASCA_DESTRA_DIETRO_PANTALONI,TASCA_SINISTRA_DAVANTI_PANTALONI,TASCA_SINISTRA_DIETRO_PANTALONI,TASCA_GIACCA_ALTA,TASCA_GIACCA_BASSA}
@DATA
0.4645,1.9528,1.3974,6.3118,-0.6928,0.0839,4.7537,2.1803,8.6656,-0.7415,-0.2935,0.6719,0.8197,3.8642,-1.1246,2.4238,1.8126,1.3463,5.4733,0.0924,5.5379,-1.5823,0.1916,-0.2857,0.0346,-0.1211,0.6409,1.7049,1.0379,2.66,1.6194,0.6088,0.4108,2.9065,1.0773,7.0755,2.6226,0.3707,0.7002,1.263,-4.6337,1.8038,-6.6182,-3.6689,0.7493,2.0499,0.6182,2.7358,0.8251,0.3016,0.7284,1.6334,1.1532,2.2425,1.5832,0.706,0.006,3.6429,0.8745,-0.1482,0.4791,-0.0227,0.4841,-0.2767,1100,0,0,0,1,TASCA_SINISTRA_DAVANTI_PANTALONI
0.1594,0.6235,0.7896,3.0762,-1.4135,0.442,0.5069,0.712,2.6815,-0.3446,-0.253,0.1635,0.4043,1.3565,-3.1931,1.0539,0.468,0.6841,2.2113,0.0588,0.3607,-0.63,0.1513,-1.7468,0.4194,-0.2401,1.1091,1.953,1.1543,1.7609,1.0408,0.591,1.23,3.8141,1.3323,3.1008,1.0832,0.3493,2.6214,1.744,-13.0386,0.6653,-4.974,-7.4762,0.6392,3.9398,0.5425,6.1642,0.8488,0.1377,1.1472,2.2677,1.3912,1.9767,1.2126,0.6135,0.0056,1.6212,0.0615,0.3725,-0.1448,-0.7788,0.7114,-0.8124,1100,0,0,0,1,TASCA_SINISTRA_DAVANTI_PANTALONI
0.7859,8.1552,2.8557,15.4943,-0.6064,-1.0143,6.792,2.6061,11.9676,-1.451,-1.0696,10.7296,3.2756,22.9167,-0.9622,4.7146,6.2396,2.4979,14.7463,0.0519,-0.7748,-0.7348,0.1667,0.9483,-0.2151,-0.2269,1.0958,0.8718,1.1432,0.7956,1.0433,1.3113,1.2007,0.7601,1.307,0.633,1.0885,1.7196,0.8256,0.5205,-7.2395,0.6305,-8.7692,-13.909,1.9754,0.8259,0.6201,0.4181,0.3139,0.7509,1.2947,0.6761,1.0507,0.5222,0.8116,1.5541,0.018,7.1048,0.1703,0.4525,-0.0157,-0.3081,-0.2574,-0.1205,1100,0,0,0,1,TASCA_SINISTRA_DAVANTI_PANTALONI
0.2033,3.9604,1.9901,8.4119,-0.5617,-0.186,1.2959,1.1384,4.4495,-0.9085,-0.3577,0.5821,0.7629,3.1755,-3.0771,2.2797,0.8452,0.9193,4.7319,0.2108,-1.093,-0.5684,0.0892,0.52,-0.0816,-0.1569,1.7481,2.6085,2.1647,1.4921,1.2383,0.8299,3.056,6.804,4.686,2.2264,1.5334,0.6887,1.4285,1.2624,-2.3933,0.8837,-1.6754,-1.8958,2.3103,6.9156,0.8983,2.9934,0.3888,0.1299,1.8905,2.649,1.7777,1.4012,0.9403,0.6711,0.0049,3.4873,-0.1142,-0.0069,0.2015,-0.9101,0.4936,-0.5565,1100,0,0,0,1,TASCA_SINISTRA_DAVANTI_PANTALONI
-2.1684,9.1231,3.0204,14.692,-1.6756,-1.0095,7.4981,2.7383,12.3151,-1.2501,0.1772,10.0083,3.1636,12.737,-1.1973,5.2803,4.5008,2.1215,10.251,0.0545,2.148,-12.2349,-0.4107,-5.6961,-0.1912,0.0336,1.1031,0.9548,1.4237,0.8656,1.2907,1.4912,1.2167,0.9116,2.027,0.7492,1.6659,2.2237,1.3447,1.3257,-15.5772,0.9858,-11.5837,-11.75,1.0033,0.9473,0.5065,0.9441,0.5048,0.5347,1.193,1.1535,1.4332,0.9669,1.2014,1.2425,0.0252,8.0601,0.4972,-0.4151,-0.5797,0.2052,-0.3104,0.1032,1100,0,0,0,1,TASCA_SINISTRA_DAVANTI_PANTALONI
-3.1951,14.6986,3.8339,13.011,-11.2096,-2.4374,5.5023,2.3457,10.2045,-2.2401,-0.9832,6.4263,2.535,9.8994,-1.4468,5.6986,11.2696,3.357,13.2339,0.0406,1.3109,3.2496,-0.5607,2.479,-0.4277,-0.1725,1.6344,1.5124,1.142,0.9253,0.6987,0.7551,2.6714,2.2873,1.3043,0.8562,0.4882,0.5702,1.6932,2.0407,-21.3507,1.2053,-12.61,-10.4625,0.3384,0.2634,0.0773,0.7785,0.2283,0.2933,1.275,1.3143,0.9832,1.0308,0.7711,0.748,0.0476,8.6145,0.5383,-0.0003,-0.9736,-0.0548,-0.5863,-0.0218,125000,0,0,0,1,TASCA_SINISTRA_DAVANTI_PANTALONI
-1.4947,9.2863,3.0473,14.7188,-1.5554,1.6945,7.3164,2.7049,10.7196,-0.5709,-0.4154,9.7879,3.1286,15.484,-1.1347,5.1595,5.0485,2.2469,10.2309,0.0598,-0.8821,3.5984,-0.2897,-4.0794,0.3284,-0.0805,1.1266,0.974,1.3562,0.8646,1.2038,1.3924,1.2692,0.9488,1.8394,0.7475,1.4492,1.9388,2.2998,1.0885,-13.7759,0.4733,-5.9901,-12.6554,0.8441,0.7941,0.5293,0.9408,0.6271,0.6666,1.3731,0.9506,1.4387,0.6923,1.0478,1.5134,0.025,7.7883,0.0759,-0.0999,-0.2961,-0.2611,0.4141,-0.2901,1100,0,0,0,1,TASCA_SINISTRA_DAVANTI_PANTALONI
0.3573,13.5061,3.6751,16.9778,-0.661,0.6638,8.2465,2.8717,12.807,-0.7718,-2.6593,8.8559,2.9759,17.3316,-2.223,5.6535,6.2864,2.5073,13.4426,0.0256,0.5383,-0.1344,0.0632,-0.2496,0.1174,-0.4704,1.2798,1.235,1.4658,0.965,1.1453,1.1869,1.6378,1.5251,2.1485,0.9312,1.3118,1.4087,1.211,0.5652,-19.1398,0.4667,-15.8048,-33.8654,1.4142,1.9008,0.7409,1.3441,0.5239,0.3898,1.3257,0.9796,1.263,0.7389,0.9527,1.2893,0.03,8.7793,-0.0357,0.5144,-0.1699,-0.1298,0.5276,-0.5363,1100,0,0,0,1,TASCA_SINISTRA_DAVANTI_PANTALONI
-0.0063,3.9579,1.9895,7.9151,-0.5818,-0.0797,2.3805,1.5429,5.587,-1.0794,-0.1714,0.9127,0.9554,3.8991,-1.3263,2.5649,0.7085,0.8417,4.6668,0.2128,0.0787,0.0366,-0.0024,0.4652,-0.0311,-0.0668,1.2894,2.0824,2.3636,1.615,1.8331,1.135,1.6626,4.3364,5.5867,2.6081,3.3601,1.2883,1.0038,1.3097,-2.3079,1.3046,-2.2991,-1.7622,1.8623,2.9854,0.844,1.603,0.4532,0.2827,1.4167,2.03,1.696,1.4329,1.1972,0.8355,0.002,3.8349,0.2214,-0.3673,-0.0378,-0.5935,0.2979,-0.2955,1100,0,0,0,1,TASCA_SINISTRA_DAVANTI_PANTALONI
-0.2861,5.0804,2.254,8.8579,-0.7125,0.0262,1.2217,1.1053,3.6991,-1.1284,-0.1038,1.2878,1.1348,4.2912,-1.0776,2.5385,1.2392,1.1132,4.6949,0.1451,-10.934,2.7552,-0.1127,-0.252,0.0103,-0.0409,2.0392,1.9862,2.0248,0.974,0.9929,1.0194,4.1585,3.945,4.0997,0.9486,0.9858,1.0392,1.8792,1.6558,-4.6258,0.8811,-2.4616,-2.7937,2.9763,2.5044,0.9419,0.8415,0.3165,0.3761,2.3946,2.0642,1.8867,0.862,0.7879,0.914,0.0033,3.8362,0.3179,-0.4453,0.052,-0.6345,0.0551,-0.2344,1100,0,0,0,1,TASCA_SINISTRA_DAVANTI_PANTALONI
-0.0863,3.5323,1.8794,7.4576,-0.5863,-0.2665,1.8192,1.3488,4.7086,-1.2422,-0.1388,1.2002,1.0955,3.8472,-1.3734,2.4257,0.7653,0.8748,4.2168,0.2025,0.3239,0.6218,-0.0356,1.9197,-0.1099,-0.0572,1.3934,1.7155,2.1484,1.2312,1.5418,1.2523,1.9417,2.9431,4.6156,1.5157,2.3771,1.5683,1.0566,1.2381,-2.5744,1.1717,-2.4365,-2.0794,2.2387,2.9004,0.8892,1.2956,0.3972,0.3066,1.5838,1.9385,1.7685,1.2239,1.1166,0.9123,0.0033,3.7256,0.3542,-0.5345,0.1033,-0.72,0.0729,-0.2144,1100,0,0,0,1,TASCA_SINISTRA_DAVANTI_PANTALONI
1.7144,20.0273,4.4752,26.8215,-0.2745,-0.5806,9.8316,3.1355,13.9898,-0.7702,-0.4192,5.6583,2.3787,8.8547,-0.9392,5.6171,7.4175,2.7235,19.2562,0.0879,-2.953,-4.0896,0.3052,1.3849,-0.1034,-0.0746,1.4272,1.8813,1.6432,1.3182,1.1513,0.8734,2.037,3.5395,2.7,1.7375,1.3255,0.7628,0.949,1.3469,-3.1123,1.4193,-3.2797,-2.3108,2.6629,4.609,0.9968,1.7308,0.3743,0.2163,1.9172,3.029,1.3929,1.5799,0.7265,0.4598,0.02,8.531,0.0383,-0.2779,0.6869,0.2302,-0.092,0.0555,1100,0,0,0,1,TASCA_SINISTRA_DIETRO_PANTALONI
