@RELATION WhereIsSmartphone
@ATTRIBUTE X_NO_G_AVERAGE NUMERIC 
@ATTRIBUTE X_NO_G_VARIANCE NUMERIC 
@ATTRIBUTE X_NO_G_STD NUMERIC 
@ATTRIBUTE X_NO_G_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE X_NO_G_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE Y_NO_G_AVERAGE NUMERIC 
@ATTRIBUTE Y_NO_G_VARIANCE NUMERIC 
@ATTRIBUTE Y_NO_G_STD NUMERIC 
@ATTRIBUTE Y_NO_G_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE Y_NO_G_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE Z_NO_G_AVERAGE NUMERIC 
@ATTRIBUTE Z_NO_G_VARIANCE NUMERIC 
@ATTRIBUTE Z_NO_G_STD NUMERIC 
@ATTRIBUTE Z_NO_G_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE Z_NO_G_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE V_NO_G_AVERAGE NUMERIC 
@ATTRIBUTE V_NO_G_VARIANCE NUMERIC 
@ATTRIBUTE V_NO_G_STD NUMERIC 
@ATTRIBUTE V_NO_G_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE V_NO_G_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_NO_G_Y_NO_G NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_Y_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_Y_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_Z_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_STD_X_NO_G_Y_NO_G NUMERIC 
@ATTRIBUTE RATIO_STD_X_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_STD_X_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_STD_Y_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_STD_Y_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_STD_Z_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_NO_G_Y_NO_G NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_Y_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_Y_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_Z_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_MIN_X_NO_G_Y_NO_G NUMERIC 
@ATTRIBUTE RATIO_MIN_X_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_MIN_X_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_MIN_Y_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_MIN_Y_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_MIN_Z_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_MAX_X_NO_G_Y_NO_G NUMERIC 
@ATTRIBUTE RATIO_MAX_X_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_MAX_X_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_MAX_Y_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_MAX_Y_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_MAX_Z_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_NO_G_Y_NO_G NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_Y_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_Y_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_Z_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE X_NO_G_Y_NO_G_Z_NO_G_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE X_NO_G_Y_NO_G_Z_NO_G_SIGNAL_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE CORRELATION_X_NO_G_Y_NO_G NUMERIC 
@ATTRIBUTE CORRELATION_X_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE CORRELATION_X_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE CORRELATION_Y_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE CORRELATION_Y_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE CORRELATION_Z_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE class {TASCA_DESTRA_DAVANTI_PANTALONI,TASCA_DESTRA_DIETRO_PANTALONI,TASCA_SINISTRA_DAVANTI_PANTALONI,TASCA_SINISTRA_DIETRO_PANTALONI,TASCA_GIACCA_ALTA,TASCA_GIACCA_BASSA,BORSA,MARSUPIO,ZAINO}
@DATA
0.3496,0.4309,0.6564,2.6758,-0.2887,-0.1004,0.5509,0.7422,3.3587,-1.7299,-0.1202,0.2481,0.4981,2.74,-2.1873,0.9942,0.3882,0.6231,2.81,0.0569,-3.4806,-2.9073,0.3516,0.8353,-0.101,-0.1209,0.8844,1.3177,1.0535,1.49,1.1913,0.7995,0.7821,1.7364,1.1099,2.2201,1.4191,0.6392,0.2817,0.3188,-3.535,1.1319,-12.5509,-11.0883,1.6877,2.4153,0.6969,1.4312,0.4129,0.2885,0.7967,0.9766,0.9523,1.2258,1.1953,0.9751,0.008,1.4565,-0.3402,0.1081,0.684,-0.2159,-0.2162,-0.2046,TASCA_DESTRA_DIETRO_PANTALONI
0.7753,1.1404,1.0679,3.5156,-0.2305,-0.0335,0.9363,0.9676,4.6529,-1.1956,0.1868,0.272,0.5215,2.181,-0.3433,1.4384,0.9167,0.9574,3.1152,0.0915,-23.1207,4.1499,0.539,-0.1795,-0.0233,0.1299,1.1036,2.0477,1.1154,1.8555,1.0106,0.5447,1.218,4.1931,1.244,3.4427,1.0214,0.2967,0.26,1.1817,-2.1004,4.5456,-8.0798,-1.7775,1.3481,1.7597,0.8332,1.3053,0.6181,0.4735,0.7556,1.6119,1.1285,2.1334,1.4936,0.7001,0.0166,2.1271,0.1625,0.2039,0.8867,0.0429,0.1036,0.3946,TASCA_DESTRA_DIETRO_PANTALONI
-1.8998,5.4801,2.341,9.1995,-11.0333,0.1126,0.99,0.995,4.563,-0.7344,-0.2717,2.1505,1.4665,8.279,-2.3144,2.6667,5.2048,2.2814,9.1567,0.0245,-16.876,6.992,-0.7124,-0.4143,0.0422,-0.1019,2.3528,1.5963,1.0261,0.6785,0.4361,0.6428,5.5357,2.5482,1.0529,0.4603,0.1902,0.4132,4.3657,1.459,-36.6377,0.3342,-8.3921,-25.1108,0.2906,0.3061,0.0814,1.0533,0.2803,0.2661,2.0161,1.1112,1.0047,0.5512,0.4983,0.9042,0.0377,3.7908,-0.6158,0.5914,-0.9633,-0.4539,0.5824,-0.687,TASCA_DESTRA_DIETRO_PANTALONI
-3.53,18.6598,4.3197,18.9898,-1.8166,-3.1627,3.7378,1.9333,8.1203,-6.2278,-3.1974,7.8994,2.8106,18.9329,-5.4244,7.3809,8.5062,2.9165,18.156,0.1402,1.1161,1.104,-0.4783,0.9892,-0.4285,-0.4332,2.2343,1.5369,1.4811,0.6879,0.6629,0.9637,4.9922,2.3622,2.1937,0.4732,0.4394,0.9287,1.7505,0.7662,-4.1367,0.4377,-2.3632,-5.3993,6.0011,2.2878,0.3193,0.3812,0.0532,0.1396,2.3386,1.003,1.0459,0.4289,0.4473,1.0428,0.1167,11.5231,0.1258,0.3892,-0.6282,0.3417,-0.4393,-0.7442,TASCA_DESTRA_DIETRO_PANTALONI
-0.4264,14.2601,3.7762,13.8123,-0.6359,1.0486,1.3995,1.183,3.9861,-0.2417,-0.9774,2.6861,1.6389,6.4402,-1.8551,4.168,3.2098,1.7916,7.4709,0.1273,-0.4066,0.4363,-0.1023,-1.0729,0.2516,-0.2345,3.1921,2.3041,2.1078,0.7218,0.6603,0.9148,10.1893,5.3088,4.4426,0.521,0.436,0.8369,6.9194,1.2831,-4.9271,0.1854,-0.7121,-3.84,2.6301,3.743,0.9863,1.4231,0.375,0.2635,3.4651,2.1447,1.8488,0.6189,0.5336,0.862,0.0312,6.0026,0.072,-0.3785,0.5653,-0.1285,-0.2299,-0.7096,TASCA_SINISTRA_DAVANTI_PANTALONI
-0.0658,2.2156,1.4885,5.1961,-0.9577,-0.226,6.7809,2.604,8.3076,-1.0088,-0.009,0.0977,0.3126,1.0764,-1.2357,2.6293,2.2365,1.4955,4.8383,0.0186,0.2911,7.276,-0.025,24.9987,-0.0859,-0.0034,0.5716,4.7622,0.9953,8.3313,1.7413,0.209,0.3267,22.6788,0.9907,69.4109,3.032,0.0437,0.6093,4.2725,-27.7269,7.0123,-45.5074,-6.4896,0.6418,5.5127,0.5384,8.5894,0.8388,0.0977,0.6255,4.8272,1.074,7.7177,1.717,0.2225,0.0048,3.8053,0.984,0.9123,0.0445,0.8844,0.0438,0.0119,TASCA_SINISTRA_DAVANTI_PANTALONI
-0.3907,10.9705,3.3122,10.9081,-0.5944,0.5659,1.6255,1.275,4.4663,-0.5824,-1.3425,1.6365,1.2793,5.297,-1.9943,3.7109,2.7369,1.6544,6.2338,0.1815,-0.6904,0.291,-0.1053,-0.4215,0.1525,-0.3618,2.5979,2.5891,2.0021,0.9966,0.7707,0.7733,6.7488,6.7036,4.0083,0.9933,0.5939,0.5979,2.474,1.1527,-2.9421,0.4659,-1.1892,-2.5524,2.4239,3.8674,0.8983,1.5955,0.3706,0.2323,2.4423,2.0593,1.7498,0.8432,0.7165,0.8497,0.0328,5.6158,-0.0333,-0.5433,0.6491,0.2333,-0.2782,-0.6633,TASCA_SINISTRA_DAVANTI_PANTALONI
-0.0354,1.2666,1.1254,4.5477,-0.9939,0.1211,3.587,1.8939,7.6556,-1.1373,0.1424,0.0665,0.2578,1.2157,-0.3135,1.7014,2.0616,1.4358,4.4983,0.0351,-0.2928,-0.2489,-0.0208,0.8501,0.0712,0.0837,0.5942,4.365,0.7838,7.3458,1.3191,0.1796,0.3531,19.0535,0.6144,53.9603,1.7399,0.0322,0.5565,7.812,-13.8452,14.0389,-24.8811,-1.7723,0.6368,2.4644,0.4892,3.8701,0.7683,0.1985,0.594,3.7409,1.011,6.2974,1.7019,0.2703,0.004,2.4254,0.9491,-0.0275,0.0307,0.1621,-0.0253,-0.1826,TASCA_SINISTRA_DAVANTI_PANTALONI
-0.03,1.5187,1.2323,5.0386,-0.9914,-0.059,4.0209,2.0052,8.4358,-1.0487,0.0101,0.0329,0.1815,0.8684,-0.8908,1.6681,2.7944,1.6716,4.9561,0.0109,0.5085,-2.981,-0.018,-5.8627,-0.0354,0.006,0.6146,6.7909,0.7372,11.0499,1.1995,0.1086,0.3777,46.1169,0.5435,122.1004,1.4389,0.0118,0.5809,6.1308,-46.0935,10.5539,-79.3486,-7.5184,0.6145,5.5091,0.505,8.9655,0.8218,0.0917,0.5973,5.802,1.0166,9.7139,1.7021,0.1752,0.0014,2.3878,0.9851,0.7105,-0.0984,0.7734,-0.0648,0.0183,TASCA_SINISTRA_DAVANTI_PANTALONI
-0.0005,0.0307,0.1753,0.6706,-0.6289,0.0008,0.0067,0.0817,0.3708,-1.2867,0.0381,0.0134,0.1158,0.5018,-0.877,0.1933,0.0149,0.1219,0.4368,0.0872,-0.6795,-0.0144,-0.0028,0.0212,0.0042,0.197,2.1461,1.5142,1.4378,0.7056,0.6699,0.9495,4.6059,2.2929,2.0672,0.4978,0.4488,0.9015,1.241,1.1043,-6.2037,0.8899,-4.999,-5.6177,2.5387,1.5399,0.8602,0.6066,0.3388,0.5586,1.8085,1.3364,1.5352,0.7389,0.8489,1.1488,0.0008,0.2855,-0.7372,-0.0677,0.5912,-0.0942,-0.5945,-0.1288,TASCA_SINISTRA_DAVANTI_PANTALONI
0.9584,1.9338,1.3906,6.4583,-0.4404,-1.8121,1.4322,1.1968,4.6588,-4.2364,-3.0494,3.7898,1.9468,11.2615,?,4.16,3.3513,1.8307,9.8759,0.1388,-0.5289,-0.3143,0.2304,0.5942,-0.4356,-0.733,1.162,0.7143,0.7596,0.6147,0.6537,1.0634,1.3502,0.5103,0.577,0.3779,0.4274,1.1309,0.5239,0.1753,-1.2403,0.3347,-2.3676,-7.0739,5.0397,0,0.391,0,0.0776,0,1.3862,0.5735,0.6539,0.4137,0.4717,1.1403,0.0765,6.2749,0.1255,0.1797,-0.0884,-0.2706,0.0396,-0.9422,TASCA_SINISTRA_DAVANTI_PANTALONI
0.553,0.1959,0.4426,1.5114,-0.2549,-0.0096,0.0329,0.1812,1.036,-1.4707,-0.0754,0.2919,0.5403,4.4391,-1.1969,0.796,0.1986,0.4457,2.3878,0.0455,-57.864,-7.3327,0.6947,0.1267,-0.012,-0.0947,2.4422,0.8193,0.9931,0.3355,0.4067,1.2122,5.9642,0.6712,0.9863,0.1125,0.1654,1.4695,0.4978,0.1269,-2.6954,0.255,-5.4143,-21.2343,2.8724,0.5961,0.4814,0.2075,0.1676,0.8077,1.4589,0.3405,0.633,0.2334,0.4339,1.859,0.0116,1.0913,-0.001,0.0126,0.5388,0.5438,-0.3987,-0.2105,TASCA_SINISTRA_DAVANTI_PANTALONI
0.1905,6.1044,2.4707,12.5784,-0.5328,-2.588,2.6666,1.633,10.4608,-12.9043,-3.5396,8.5975,2.9322,10.4564,-6.0534,5.5824,5.4686,2.3385,8.1391,0.2152,-0.0736,-0.0538,0.0341,0.7312,-0.4636,-0.6341,1.513,0.8426,1.0565,0.5569,0.6983,1.2539,2.2892,0.71,1.1163,0.3102,0.4876,1.5722,0.4503,0.4872,-1.9589,1.0818,-4.35,-4.0209,10.9078,5.5356,0.7913,0.5075,0.0725,0.1429,1.2024,1.2029,1.5454,1.0004,1.2852,1.2847,0.0914,8.3851,0.5038,0.4922,-0.4192,0.4855,-0.6317,-0.8657,TASCA_SINISTRA_DAVANTI_PANTALONI
0.9457,2.7358,1.654,6.144,-0.4986,-0.7504,0.9204,0.9594,3.5156,-1.6306,-0.6587,3.8847,1.971,6.0956,-1.1986,2.9508,0.725,0.8515,3.3213,0.2952,-1.2603,-1.4357,0.3205,1.1392,-0.2543,-0.2232,1.7241,0.8392,1.9425,0.4868,1.1267,2.3147,2.9725,0.7043,3.7733,0.2369,1.2694,5.3579,0.9381,0.6151,-1.4696,0.6558,-1.5666,-2.389,3.0678,1.4787,0.87,0.482,0.2836,0.5884,1.7476,1.0079,1.8499,0.5767,1.0585,1.8353,0.0313,4.4958,-0.4391,-0.1615,0.365,0.8269,-0.6083,-0.6179,TASCA_SINISTRA_DAVANTI_PANTALONI
