@RELATION WhereIsSmartphone
@ATTRIBUTE X_NO_G_AVERAGE NUMERIC 
@ATTRIBUTE X_NO_G_VARIANCE NUMERIC 
@ATTRIBUTE X_NO_G_STD NUMERIC 
@ATTRIBUTE X_NO_G_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE X_NO_G_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE Y_NO_G_AVERAGE NUMERIC 
@ATTRIBUTE Y_NO_G_VARIANCE NUMERIC 
@ATTRIBUTE Y_NO_G_STD NUMERIC 
@ATTRIBUTE Y_NO_G_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE Y_NO_G_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE Z_NO_G_AVERAGE NUMERIC 
@ATTRIBUTE Z_NO_G_VARIANCE NUMERIC 
@ATTRIBUTE Z_NO_G_STD NUMERIC 
@ATTRIBUTE Z_NO_G_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE Z_NO_G_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE V_NO_G_AVERAGE NUMERIC 
@ATTRIBUTE V_NO_G_VARIANCE NUMERIC 
@ATTRIBUTE V_NO_G_STD NUMERIC 
@ATTRIBUTE V_NO_G_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE V_NO_G_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_NO_G_Y_NO_G NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_Y_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_Y_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_Z_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_STD_X_NO_G_Y_NO_G NUMERIC 
@ATTRIBUTE RATIO_STD_X_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_STD_X_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_STD_Y_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_STD_Y_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_STD_Z_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_NO_G_Y_NO_G NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_Y_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_Y_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_Z_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_MIN_X_NO_G_Y_NO_G NUMERIC 
@ATTRIBUTE RATIO_MIN_X_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_MIN_X_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_MIN_Y_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_MIN_Y_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_MIN_Z_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_MAX_X_NO_G_Y_NO_G NUMERIC 
@ATTRIBUTE RATIO_MAX_X_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_MAX_X_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_MAX_Y_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_MAX_Y_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_MAX_Z_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_NO_G_Y_NO_G NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_Y_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_Y_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_Z_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE X_NO_G_Y_NO_G_Z_NO_G_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE X_NO_G_Y_NO_G_Z_NO_G_SIGNAL_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE CORRELATION_X_NO_G_Y_NO_G NUMERIC 
@ATTRIBUTE CORRELATION_X_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE CORRELATION_X_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE CORRELATION_Y_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE CORRELATION_Y_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE CORRELATION_Z_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE PRESSURE_AVERAGE NUMERIC 
@ATTRIBUTE PRESSURE_VARIANCE NUMERIC 
@ATTRIBUTE PRESSURE_STD NUMERIC 
@ATTRIBUTE PRESSURE_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE PRESSURE_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE RELATIVE_HUMIDITY_AVERAGE NUMERIC 
@ATTRIBUTE RELATIVE_HUMIDITY_VARIANCE NUMERIC 
@ATTRIBUTE RELATIVE_HUMIDITY_STD NUMERIC 
@ATTRIBUTE RELATIVE_HUMIDITY_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE RELATIVE_HUMIDITY_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE class {TASCA_SINISTRA_DIETRO_PANTALONI,TASCA_DESTRA_DIETRO_PANTALONI,TASCA_DESTRA_DAVANTI_PANTALONI,TASCA_SINISTRA_DAVANTI_PANTALONI,TASCA_GIACCA}
@DATA
-0.2741,9.7705,3.1258,20.4641,-1.0604,-0.0302,6.8912,2.6251,14.8275,-1.4492,-0.3845,3.4141,1.8477,9.937,-1.371,3.9697,4.5413,2.131,10.6174,0.076,9.0894,0.7129,-0.0691,0.0784,-0.0076,-0.0969,1.1907,1.6917,1.4668,1.4207,1.2318,0.8671,1.4178,2.8618,2.1515,2.0185,1.5174,0.7518,1.2004,1.8329,-12.0663,1.5269,-10.0517,-6.5831,1.6406,2.3698,0.8644,1.4445,0.5269,0.3648,1.3801,2.0594,1.9274,1.4921,1.3965,0.9359,0.0032,5.8771,-0.1618,0.0907,0.1088,-0.0118,-0.0573,0.0756,1100,0,0,0,1,?,?,?,?,?,TASCA_SINISTRA_DIETRO_PANTALONI
0.7793,10.7755,3.2826,16.0949,-0.4403,0.6559,5.101,2.2585,10.6965,-1.0049,-0.5735,5.883,2.4255,16.7151,-1.148,4.2175,5.3382,2.3105,11.6154,0.0339,1.1882,-1.3588,0.1848,-1.1436,0.1555,-0.136,1.4534,1.3534,1.4208,0.9312,0.9775,1.0498,2.1124,1.8316,2.0186,0.8671,0.9556,1.102,0.9178,0.5508,-12.0658,0.6001,-13.1467,-21.9064,2.0945,1.436,0.9294,0.6856,0.4437,0.6472,1.5047,0.9629,1.3857,0.6399,0.9209,1.4391,0.0084,5.9521,0.1719,0.0269,0.5673,0.162,0.0553,-0.2227,1100,0,0,0,1,?,?,?,?,?,TASCA_SINISTRA_DIETRO_PANTALONI
1.271,14.051,3.7485,22.5426,-0.2397,-0.0673,9.299,3.0494,16.542,-0.4353,-0.4365,7.0734,2.6596,23.7352,-2.238,4.3318,13.4694,3.6701,19.9463,0.0091,-18.8915,-2.9114,0.2934,0.1541,-0.0155,-0.1008,1.2292,1.4094,1.0214,1.1466,0.8309,0.7247,1.511,1.9865,1.0432,1.3146,0.6904,0.5252,0.8689,0.2657,-23.7278,0.3058,-27.3094,-89.2978,1.5778,2.4806,0.9033,1.5723,0.5725,0.3641,1.3627,0.9498,1.1302,0.6969,0.8293,1.19,0.0097,6.3833,0.1613,0.0429,0.6598,-0.177,0.33,-0.3427,1100,0,0,0,1,?,?,?,?,?,TASCA_SINISTRA_DIETRO_PANTALONI
0.1204,9.4208,3.0693,16.4244,-0.4407,1.358,8.9291,2.9882,13.4212,-0.564,-1.3056,12.7697,3.5735,28.4846,-4.6987,4.92,10.477,3.2368,23.2835,0.0487,0.0886,-0.0922,0.0245,-1.0401,0.276,-0.2654,1.0272,0.8589,0.9483,0.8362,0.9232,1.104,1.0551,0.7377,0.8992,0.6992,0.8523,1.2188,1.0382,0.2139,-4.2168,0.2061,-4.0618,-19.711,1.3284,2.2807,0.4658,1.7168,0.3506,0.2042,1.2238,0.5766,0.7054,0.4712,0.5764,1.2234,0.0135,7.1478,0.22,-0.2495,0.5029,0.0333,0.3674,-0.6866,1100,0,0,0,1,?,?,?,?,?,TASCA_SINISTRA_DIETRO_PANTALONI
0.0147,0.021,0.1448,0.9496,-1.1723,-0.0351,0.0328,0.1811,1.316,-0.6881,0.016,0.0079,0.0888,0.5173,-0.4859,0.1969,0.0246,0.1568,0.892,0.0089,-0.4185,0.919,0.0747,-2.1957,-0.1785,0.0813,0.7996,1.6306,0.9235,2.0392,1.1549,0.5663,0.6394,2.6588,0.8528,4.1582,1.3337,0.3207,0.9554,3.0291,-63.744,3.1707,-66.723,-21.0439,0.5607,1.2556,0.4857,2.2391,0.8661,0.3868,0.7216,1.8356,1.0646,2.5438,1.4753,0.58,0.0003,0.2951,-0.6777,-0.2864,-0.0639,0.0001,0.0906,0.3861,1100,0,0,0,1,?,?,?,?,?,TASCA_SINISTRA_DIETRO_PANTALONI
0.0208,0.0161,0.1267,0.6498,-0.9088,-0.0513,0.0094,0.0969,0.5416,-1.169,0.0102,0.0087,0.0933,0.4379,-0.8818,0.1752,0.0066,0.0814,0.3555,0.0771,-0.4053,2.0359,0.1186,-5.0229,-0.2925,0.0582,1.3077,1.3577,1.5576,1.0382,1.191,1.1472,1.7101,1.8433,2.426,1.0779,1.4186,1.3161,1.0599,1.5078,-10.422,1.4226,-9.8332,-6.912,1.3633,1.4631,0.8838,1.0732,0.6483,0.6041,1.1998,1.4841,1.8278,1.2369,1.5235,1.2316,0.0004,0.2636,-0.1393,-0.1649,0.1284,-0.4615,-0.3461,0.2094,1100,0,0,0,1,?,?,?,?,?,TASCA_SINISTRA_DIETRO_PANTALONI
0.0627,0.0247,0.157,0.8344,-0.679,-0.0795,0.0135,0.1163,0.607,-1.7758,0.0049,0.0099,0.0993,0.5754,-1.4465,0.2164,0.0115,0.1072,0.5743,0.0581,-0.788,12.7201,0.2896,-16.1416,-0.3675,0.0228,1.3503,1.5822,1.4645,1.1717,1.0845,0.9256,1.8234,2.5033,2.1447,1.3728,1.1762,0.8568,0.869,0.9919,-9.5186,1.1414,-10.953,-9.5961,2.2728,2.1131,0.8151,0.9297,0.3586,0.3857,1.3748,1.4502,1.453,1.0549,1.0569,1.0019,0.0007,0.3223,-0.0858,-0.2227,0.4867,-0.2679,-0.1679,-0.0986,1100,0,0,0,1,?,?,?,?,?,TASCA_SINISTRA_DIETRO_PANTALONI
0.2328,0.2358,0.4856,1.9799,-0.1416,-0.3432,0.4464,0.6681,2.6405,-5.6127,-0.0139,0.0692,0.263,1.5504,-0.554,0.6236,0.5346,0.7312,2.7772,0.0111,-0.6783,-16.7464,0.3733,24.6898,-0.5503,-0.0223,0.7268,1.8462,0.6641,2.5403,0.9138,0.3597,0.5282,3.4086,0.441,6.4533,0.835,0.1294,0.1096,0.4443,-7.853,4.0549,-71.665,-17.6737,4.3432,1.7383,0.6175,0.4002,0.1422,0.3552,0.7498,1.277,0.7129,1.7031,0.9508,0.5583,0.0029,0.9389,-0.8534,0.6757,0.9238,-0.6554,-0.9555,0.6667,1100,0,0,0,1,?,?,?,?,?,TASCA_SINISTRA_DIETRO_PANTALONI
0.1873,3.4661,1.8618,10.6184,-1.3434,0.4639,2.8476,1.6875,8.9461,-0.6389,-1.0973,4.688,2.1652,9.8784,-4.1566,2.9186,3.9377,1.9844,9.5491,0.011,0.4037,-0.1707,0.0642,-0.4228,0.1589,-0.376,1.1033,0.8599,0.9382,0.7794,0.8504,1.0911,1.2172,0.7394,0.8802,0.6074,0.7232,1.1905,1.7454,0.7645,-57.4453,0.438,-32.9126,-75.1443,0.8301,2.3653,0.4693,2.8494,0.5654,0.1984,1.1869,1.0749,1.112,0.9056,0.9369,1.0345,0.0083,4.2543,0.4057,0.2265,-0.0534,-0.3582,0.4673,-0.6903,1100,0,0,0,1,?,?,?,?,?,TASCA_GIACCA
0.3524,3.3414,1.828,9.5228,-1.1855,0.5292,1.4331,1.1971,7.6284,-0.8038,-1.1266,2.7759,1.6661,6.8973,-2.8633,2.491,3.0187,1.7374,5.6272,0.0063,0.6658,-0.3128,0.1414,-0.4697,0.2124,-0.4523,1.527,1.0971,1.0521,0.7185,0.689,0.9589,2.3316,1.2037,1.1069,0.5163,0.4747,0.9196,1.5195,1.0105,-143.68,0.665,-94.5558,-142.1886,1.0303,2.4406,0.7694,2.3687,0.7468,0.3153,1.2483,1.3807,1.6923,1.106,1.3556,1.2257,0.0089,3.6902,0.045,0.2336,-0.0727,-0.3925,0.4971,-0.7244,1100,0,0,0,1,?,?,?,?,?,TASCA_GIACCA
0.0707,5.9836,2.4461,14.1617,-1.6187,0.2134,2.6668,1.633,6.9827,-0.9848,-0.9798,5.1027,2.2589,11.976,-2.2004,3.1903,4.5855,2.1414,9.1054,0.0103,0.3315,-0.0722,0.0222,-0.2178,0.0669,-0.3071,1.4979,1.0829,1.1423,0.7229,0.7626,1.0549,2.2437,1.1726,1.3049,0.5226,0.5816,1.1128,2.5267,1.0632,-92.5523,0.4208,-36.6301,-87.0547,1.5371,1.4452,0.5878,0.9402,0.3824,0.4067,2.0281,1.1825,1.5553,0.5831,0.7669,1.3153,0.0069,4.6108,0.4137,0.2018,-0.252,-0.1148,0.2292,-0.6524,1100,0,0,0,1,?,?,?,?,?,TASCA_GIACCA
0.1873,3.4661,1.8618,10.6184,-1.3434,0.4639,2.8476,1.6875,8.9461,-0.6389,-1.0973,4.688,2.1652,9.8784,-4.1566,2.9186,3.9377,1.9844,9.5491,0.011,0.4037,-0.1707,0.0642,-0.4228,0.1589,-0.376,1.1033,0.8599,0.9382,0.7794,0.8504,1.0911,1.2172,0.7394,0.8802,0.6074,0.7232,1.1905,1.7454,0.7645,-57.4453,0.438,-32.9126,-75.1443,0.8301,2.3653,0.4693,2.8494,0.5654,0.1984,1.1869,1.0749,1.112,0.9056,0.9369,1.0345,0.0083,4.2543,0.4057,0.2265,-0.0534,-0.3582,0.4673,-0.6903,1100,0,0,0,1,?,?,?,?,?,TASCA_GIACCA
0.3524,3.3414,1.828,9.5228,-1.1855,0.5292,1.4331,1.1971,7.6284,-0.8038,-1.1266,2.7759,1.6661,6.8973,-2.8633,2.491,3.0187,1.7374,5.6272,0.0063,0.6658,-0.3128,0.1414,-0.4697,0.2124,-0.4523,1.527,1.0971,1.0521,0.7185,0.689,0.9589,2.3316,1.2037,1.1069,0.5163,0.4747,0.9196,1.5195,1.0105,-143.68,0.665,-94.5558,-142.1886,1.0303,2.4406,0.7694,2.3687,0.7468,0.3153,1.2483,1.3807,1.6923,1.106,1.3556,1.2257,0.0089,3.6902,0.045,0.2336,-0.0727,-0.3925,0.4971,-0.7244,1100,0,0,0,1,?,?,?,?,?,TASCA_GIACCA
0.0707,5.9836,2.4461,14.1617,-1.6187,0.2134,2.6668,1.633,6.9827,-0.9848,-0.9798,5.1027,2.2589,11.976,-2.2004,3.1903,4.5855,2.1414,9.1054,0.0103,0.3315,-0.0722,0.0222,-0.2178,0.0669,-0.3071,1.4979,1.0829,1.1423,0.7229,0.7626,1.0549,2.2437,1.1726,1.3049,0.5226,0.5816,1.1128,2.5267,1.0632,-92.5523,0.4208,-36.6301,-87.0547,1.5371,1.4452,0.5878,0.9402,0.3824,0.4067,2.0281,1.1825,1.5553,0.5831,0.7669,1.3153,0.0069,4.6108,0.4137,0.2018,-0.252,-0.1148,0.2292,-0.6524,1100,0,0,0,1,?,?,?,?,?,TASCA_GIACCA
-0.3399,10.7007,3.2712,15.291,-1.1017,0.2631,8.192,2.8622,11.1987,-0.817,-1.5379,15.0991,3.8858,20.7139,-2.3753,5.6075,5.098,2.2579,14.8148,0.0503,-1.2919,0.221,-0.0606,-0.1711,0.0469,-0.2743,1.1429,0.8418,1.4488,0.7366,1.2676,1.721,1.3062,0.7087,2.099,0.5426,1.6069,2.9618,1.5918,0.5499,-10.2068,0.3454,-6.412,-18.5625,1.1805,1.1856,0.4664,1.0043,0.3951,0.3934,1.3654,0.7382,1.0321,0.5406,0.7559,1.3982,0.0113,8.2669,0.3339,0.0205,0.05,0.4775,-0.0185,-0.6287,1100,0,0,0,1,?,?,?,?,?,TASCA_GIACCA
-0.4874,7.8931,2.8095,14.0801,-0.637,0.2556,2.6456,1.6265,8.4416,-0.5809,-1.1956,6.9435,2.635,17.005,-2.2539,3.929,3.7775,1.9436,12.5077,0.0362,-1.9068,0.4077,-0.1241,-0.2138,0.0651,-0.3043,1.7273,1.0662,1.4455,0.6173,0.8369,1.3558,2.9835,1.1368,2.0895,0.381,0.7004,1.8381,1.7663,0.4651,-11.6707,0.2633,-6.6073,-25.0917,1.6108,1.6459,0.6628,1.0218,0.4115,0.4027,1.6679,0.828,1.1257,0.4964,0.6749,1.3596,0.009,5.9361,0.3271,-0.0189,0.0963,-0.0965,0.3278,-0.5336,1100,0,0,0,1,?,?,?,?,?,TASCA_GIACCA
0.02,0.0114,0.107,0.6073,-0.8674,-0.0176,0.0099,0.0996,0.4556,-1.2134,-0.0087,0.0049,0.0702,0.3578,-1.0265,0.1475,0.0053,0.0729,0.3543,0.0348,-1.1357,-2.2887,0.1353,2.0153,-0.1191,-0.0591,1.0742,1.5244,1.4683,1.419,1.3669,0.9632,1.1539,2.3237,2.1559,2.0137,1.8683,0.9278,1.1294,1.5567,-22.1088,1.3783,-19.5751,-14.2027,1.58,1.8422,0.8859,1.166,0.5607,0.4809,1.333,1.6976,1.714,1.2735,1.2858,1.0097,0.0002,0.2243,-0.5397,-0.1261,0.1109,-0.1638,-0.1267,0.1362,1100,0,0,0,1,?,?,?,?,?,TASCA_GIACCA
-0.0493,0.0265,0.1627,0.8357,-1.7013,0.0677,0.0196,0.1401,0.743,-0.6088,0.0626,0.0275,0.1657,0.8551,-1.0841,0.2606,0.0166,0.1289,0.7231,0.0269,-0.7272,-0.7866,-0.1891,1.0817,0.26,0.2403,1.1617,0.9818,1.2627,0.8452,1.087,1.2862,1.3495,0.9639,1.5945,0.7143,1.1816,1.6542,1.872,1.1833,-26.3091,0.6321,-14.0541,-22.2334,0.6698,0.754,0.4163,1.1256,0.6215,0.5522,1.1247,0.9773,1.1558,0.8689,1.0276,1.1826,0.0008,0.3912,-0.1879,-0.1352,-0.3036,-0.4015,0.4647,-0.0133,1100,0,0,0,1,?,?,?,?,?,TASCA_GIACCA
-1.0926,5.2237,2.2855,11.467,-3.6567,-0.263,3.4864,1.8672,9.1133,-1.1226,-0.3922,1.6003,1.265,9.0958,-1.9788,2.4116,5.9112,2.4313,10.639,0.0072,4.1549,2.7861,-0.4531,0.6706,-0.109,-0.1626,1.2241,1.8067,0.9401,1.476,0.768,0.5203,1.4983,3.2643,0.8837,2.1786,0.5898,0.2707,1.8682,1.4902,-116.4641,0.7977,-62.3398,-78.1514,0.5735,0.8064,0.2298,1.4061,0.4006,0.2849,1.2583,1.2607,1.0778,1.0019,0.8566,0.855,0.0083,3.5933,0.2047,0.5658,-0.7539,-0.1835,0.0983,-0.587,1100,0,0,0,1,?,?,?,?,?,TASCA_GIACCA
