@RELATION WhereIsSmartphone
@ATTRIBUTE X_GRAVITY_AVERAGE NUMERIC 
@ATTRIBUTE X_GRAVITY_VARIANCE NUMERIC 
@ATTRIBUTE X_GRAVITY_STD NUMERIC 
@ATTRIBUTE X_GRAVITY_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE X_GRAVITY_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE Y_GRAVITY_AVERAGE NUMERIC 
@ATTRIBUTE Y_GRAVITY_VARIANCE NUMERIC 
@ATTRIBUTE Y_GRAVITY_STD NUMERIC 
@ATTRIBUTE Y_GRAVITY_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE Y_GRAVITY_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE Z_GRAVITY_AVERAGE NUMERIC 
@ATTRIBUTE Z_GRAVITY_VARIANCE NUMERIC 
@ATTRIBUTE Z_GRAVITY_STD NUMERIC 
@ATTRIBUTE Z_GRAVITY_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE Z_GRAVITY_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_GRAVITY_Y_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_Y_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_STD_X_GRAVITY_Y_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_STD_X_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_STD_Y_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_GRAVITY_Y_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_Y_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_MIN_X_GRAVITY_Y_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_MIN_X_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_MIN_Y_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_MAX_X_GRAVITY_Y_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_MAX_X_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_MAX_Y_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_GRAVITY_Y_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_Y_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE SIGNAL_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE CORRELATION_X_GRAVITY_Y_GRAVITY NUMERIC 
@ATTRIBUTE CORRELATION_X_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE CORRELATION_Y_GRAVITY_Z_GRAVITY NUMERIC 
@ATTRIBUTE class {TASCA_DESTRA_DAVANTI_PANTALONI,TASCA_DESTRA_DIETRO_PANTALONI,TASCA_SINISTRA_DAVANTI_PANTALONI,TASCA_SINISTRA_DIETRO_PANTALONI,TASCA_GIACCA_ALTA,TASCA_GIACCA_BASSA,BORSA,MARSUPIO,ZAINO}
@DATA
4.2499557,2.9847257,1.7276359,5.6464844,0.25871795,0.33092153,0.18506788,0.43019515,1.171875,-0.23966943,7.087624,1.7480117,1.3221239,4.6054688,0.5133127,12.84279,0.59963053,0.04669005,4.0159354,1.3067125,0.32538188,16.127735,1.7074976,0.10587336,-8.698276,0.40570968,-0.046642542,8.057851,0.8049536,0.0998968,4.818333,1.226039,0.2544529,0.1879726,11.762961,-0.6999875,-0.9359813,0.8294128,TASCA_DESTRA_DAVANTI_PANTALONI
4.0197086,1.4581337,1.207532,3.6328125,0.35884178,3.3387785,0.06822091,0.26119134,0.7714844,0.7903397,6.3623934,2.580966,1.6065385,4.9628906,0.40948176,1.2039459,0.6317919,0.5247677,4.6231704,0.7516359,0.16258019,21.373705,0.56495655,0.026432319,0.69912696,0.5908059,0.84506243,1.5398089,0.6741808,0.43783408,4.708861,0.7319953,0.15545061,0.18711814,13.7208805,0.94155854,-0.9645963,-0.8363509,TASCA_DESTRA_DAVANTI_PANTALONI
-7.7088914,3.7313768E-4,0.019316772,7.746092,?,5.401685,9.086762E-4,0.030144256,0.10942221,0.9799765,2.7622628,1.3216231E-4,0.011496187,0.039817333,0.9856572,-1.4271271,-2.7907884,1.9555291,0.640811,1.6802764,2.622109,0.41063878,2.823329,6.8754563,-1.4464445,-2.8308535,1.9571116,0.0,0.0,1.9684566,70.790855,194.5407,2.7481048,0.1961992,15.872838,0.98923147,-0.3865042,-0.5311278,TASCA_DESTRA_DAVANTI_PANTALONI
-6.783826,2.8094268E-4,0.016761344,6.8148785,?,6.356011,4.2141863E-4,0.020528484,0.06346798,0.9900544,3.1329818,3.2713106E-5,0.0057195374,0.018112183,0.9942376,-1.0673087,-2.1652937,2.0287418,0.816492,2.930542,3.5891862,0.66665936,8.588078,12.882257,-1.0786344,-2.180725,2.0217464,0.0,0.0,2.0302887,107.37507,376.25937,3.5041597,0.19619861,16.272821,0.9977848,-0.97489184,-0.95843863,TASCA_DESTRA_DAVANTI_PANTALONI
2.357949,0.29770353,0.54562217,2.1966817,0.47790667,6.011927,0.24523242,0.49520946,2.0318747,0.6820705,-7.345714,0.030209836,0.17380977,7.715705,?,0.39221185,-0.32099658,-0.8184265,1.1018008,3.1391916,2.8491464,1.2139648,9.854524,8.117635,0.46128225,-0.26060724,-0.5649626,0.6583441,?,?,1.0811108,0.28470266,0.2633427,0.19177905,15.715589,-0.9949126,-0.9039719,0.93962234,TASCA_DESTRA_DAVANTI_PANTALONI
8.945508,0.34562433,0.58789825,2.1960092,0.7749188,-3.0149903,5.300993,2.3023884,8.074665,-2.7095635,0.81795067,0.74370867,0.86238545,3.144339,-0.05348505,-2.9670105,10.936488,-3.6860297,0.25534278,0.6817117,2.6697905,0.06519992,0.4647308,7.1277814,-1.2818879,-47.360653,36.94602,4.48222,3.268842,0.72929084,0.27196288,0.69840086,2.5680008,0.18950601,13.193701,0.79082316,-0.21906796,0.38561797,TASCA_DESTRA_DAVANTI_PANTALONI
2.045855,33.68468,5.8038507,15.720869,-1.0079007,-7.4882565,1.5757312,1.2552813,9.76347,?,0.57395834,0.3210358,0.5666002,2.3798823,-0.35443345,-0.27320847,3.564466,-13.04669,4.6235456,10.243291,2.2154622,21.377174,104.924995,4.9082723,0.808254,12.671252,15.677315,?,4.455911,1.4E-45,1.6101724,6.605734,4.102501,0.1556778,13.946495,0.30271813,-0.7149092,-0.5047379,TASCA_DESTRA_DAVANTI_PANTALONI
-4.9272614,3.1494193,1.7746603,6.7252927,?,-7.9410176,0.67586315,0.822109,9.619772,?,0.8864731,4.1753736,2.043373,6.467109,-0.49645948,0.6204824,-5.5582747,-8.957991,2.158668,0.8684955,0.40232936,4.6598477,0.75428444,0.1618689,0.69911146,3.1346002,4.4836917,1.0,0.0,0.0,0.69911146,1.0399226,1.4874918,0.19157983,14.780604,-0.9611887,0.75630885,-0.7254883,TASCA_DESTRA_DAVANTI_PANTALONI
-6.719748,0.040449414,0.20112039,6.961424,?,6.97758,0.030049138,0.17334688,0.45505333,0.9369059,1.522511,0.013397461,0.1157474,0.39338195,0.78236026,-0.9630485,-4.4135957,4.5829425,1.1602193,1.7375802,1.4976308,1.346109,3.019185,2.242898,-1.0302157,-4.922833,4.778448,0.0,1.4E-45,3.9902277,15.298039,17.696348,1.1567723,0.19612208,15.21984,0.9930759,0.7792308,0.7031194,TASCA_DESTRA_DAVANTI_PANTALONI
-5.6996064,0.02812966,0.16771899,5.916297,?,7.7996216,0.013632501,0.1167583,0.38709497,0.95147765,1.6868304,0.028795376,0.16969201,0.49247587,0.74104685,-0.7307542,-3.3788853,4.6238327,1.4364631,0.9883729,0.6880601,2.0634263,0.97688115,0.47342673,-0.7794277,-4.197982,5.3859797,0.0,1.4E-45,4.194805,15.283838,12.013374,0.78601813,0.19228187,15.186059,0.95335364,0.30764258,0.0064018066,TASCA_DESTRA_DAVANTI_PANTALONI
