@RELATION WhereIsSmartphone
@ATTRIBUTE RATIO_X_NO_G_AVERAGE NUMERIC
@ATTRIBUTE RATIO_X_NO_G_VARIANCE NUMERIC
@ATTRIBUTE RATIO_X_NO_G_STD NUMERIC
@ATTRIBUTE RATIO_X_NO_G_DIFFERENCE_MIN_MAX NUMERIC
@ATTRIBUTE RATIO_X_NO_G_RATIO_MIN_MAX NUMERIC
@ATTRIBUTE RATIO_Y_NO_G_AVERAGE NUMERIC
@ATTRIBUTE RATIO_Y_NO_G_VARIANCE NUMERIC
@ATTRIBUTE RATIO_Y_NO_G_STD NUMERIC
@ATTRIBUTE RATIO_Y_NO_G_DIFFERENCE_MIN_MAX NUMERIC
@ATTRIBUTE RATIO_Y_NO_G_RATIO_MIN_MAX NUMERIC
@ATTRIBUTE RATIO_Z_NO_G_AVERAGE NUMERIC
@ATTRIBUTE RATIO_Z_NO_G_VARIANCE NUMERIC
@ATTRIBUTE RATIO_Z_NO_G_STD NUMERIC
@ATTRIBUTE RATIO_Z_NO_G_DIFFERENCE_MIN_MAX NUMERIC
@ATTRIBUTE RATIO_Z_NO_G_RATIO_MIN_MAX NUMERIC
@ATTRIBUTE RATIO_V_NO_G_AVERAGE NUMERIC
@ATTRIBUTE RATIO_V_NO_G_VARIANCE NUMERIC
@ATTRIBUTE RATIO_V_NO_G_STD NUMERIC
@ATTRIBUTE RATIO_V_NO_G_DIFFERENCE_MIN_MAX NUMERIC
@ATTRIBUTE RATIO_V_NO_G_RATIO_MIN_MAX NUMERIC
@ATTRIBUTE RATIO_RATIO_AVERAGE_X_NO_G_Y_NO_G NUMERIC
@ATTRIBUTE RATIO_RATIO_AVERAGE_X_NO_G_Z_NO_G NUMERIC
@ATTRIBUTE RATIO_RATIO_AVERAGE_X_NO_G_V_NO_G NUMERIC
@ATTRIBUTE RATIO_RATIO_AVERAGE_Y_NO_G_Z_NO_G NUMERIC
@ATTRIBUTE RATIO_RATIO_AVERAGE_Y_NO_G_V_NO_G NUMERIC
@ATTRIBUTE RATIO_RATIO_AVERAGE_Z_NO_G_V_NO_G NUMERIC
@ATTRIBUTE RATIO_RATIO_STD_X_NO_G_Y_NO_G NUMERIC
@ATTRIBUTE RATIO_RATIO_STD_X_NO_G_Z_NO_G NUMERIC
@ATTRIBUTE RATIO_RATIO_STD_X_NO_G_V_NO_G NUMERIC
@ATTRIBUTE RATIO_RATIO_STD_Y_NO_G_Z_NO_G NUMERIC
@ATTRIBUTE RATIO_RATIO_STD_Y_NO_G_V_NO_G NUMERIC
@ATTRIBUTE RATIO_RATIO_STD_Z_NO_G_V_NO_G NUMERIC
@ATTRIBUTE RATIO_RATIO_VARIANCE_X_NO_G_Y_NO_G NUMERIC
@ATTRIBUTE RATIO_RATIO_VARIANCE_X_NO_G_Z_NO_G NUMERIC
@ATTRIBUTE RATIO_RATIO_VARIANCE_X_NO_G_V_NO_G NUMERIC
@ATTRIBUTE RATIO_RATIO_VARIANCE_Y_NO_G_Z_NO_G NUMERIC
@ATTRIBUTE RATIO_RATIO_VARIANCE_Y_NO_G_V_NO_G NUMERIC
@ATTRIBUTE RATIO_RATIO_VARIANCE_Z_NO_G_V_NO_G NUMERIC
@ATTRIBUTE RATIO_RATIO_MIN_X_NO_G_Y_NO_G NUMERIC
@ATTRIBUTE RATIO_RATIO_MIN_X_NO_G_Z_NO_G NUMERIC
@ATTRIBUTE RATIO_RATIO_MIN_X_NO_G_V_NO_G NUMERIC
@ATTRIBUTE RATIO_RATIO_MIN_Y_NO_G_Z_NO_G NUMERIC
@ATTRIBUTE RATIO_RATIO_MIN_Y_NO_G_V_NO_G NUMERIC
@ATTRIBUTE RATIO_RATIO_MIN_Z_NO_G_V_NO_G NUMERIC
@ATTRIBUTE RATIO_RATIO_MAX_X_NO_G_Y_NO_G NUMERIC
@ATTRIBUTE RATIO_RATIO_MAX_X_NO_G_Z_NO_G NUMERIC
@ATTRIBUTE RATIO_RATIO_MAX_X_NO_G_V_NO_G NUMERIC
@ATTRIBUTE RATIO_RATIO_MAX_Y_NO_G_Z_NO_G NUMERIC
@ATTRIBUTE RATIO_RATIO_MAX_Y_NO_G_V_NO_G NUMERIC
@ATTRIBUTE RATIO_RATIO_MAX_Z_NO_G_V_NO_G NUMERIC
@ATTRIBUTE RATIO_RATIO_DIFF_MIN_MAX_X_NO_G_Y_NO_G NUMERIC
@ATTRIBUTE RATIO_RATIO_DIFF_MIN_MAX_X_NO_G_Z_NO_G NUMERIC
@ATTRIBUTE RATIO_RATIO_DIFF_MIN_MAX_X_NO_G_V_NO_G NUMERIC
@ATTRIBUTE RATIO_RATIO_DIFF_MIN_MAX_Y_NO_G_Z_NO_G NUMERIC
@ATTRIBUTE RATIO_RATIO_DIFF_MIN_MAX_Y_NO_G_V_NO_G NUMERIC
@ATTRIBUTE RATIO_RATIO_DIFF_MIN_MAX_Z_NO_G_V_NO_G NUMERIC
@ATTRIBUTE RATIO_X_NO_G_Y_NO_G_Z_NO_G_MAGNITUDE_AREA NUMERIC
@ATTRIBUTE RATIO_X_NO_G_Y_NO_G_Z_NO_G_SIGNAL_MAGNITUDE_AREA NUMERIC
@ATTRIBUTE RATIO_CORRELATION_X_NO_G_Y_NO_G NUMERIC
@ATTRIBUTE RATIO_CORRELATION_X_NO_G_Z_NO_G NUMERIC
@ATTRIBUTE RATIO_CORRELATION_X_NO_G_V_NO_G NUMERIC
@ATTRIBUTE RATIO_CORRELATION_Y_NO_G_Z_NO_G NUMERIC
@ATTRIBUTE RATIO_CORRELATION_Y_NO_G_V_NO_G NUMERIC
@ATTRIBUTE RATIO_CORRELATION_Z_NO_G_V_NO_G NUMERIC
@ATTRIBUTE class {TASCA_DESTRA_DAVANTI_PANTALONI,TASCA_DESTRA_DIETRO_PANTALONI,TASCA_SINISTRA_DAVANTI_PANTALONI,TASCA_SINISTRA_DIETRO_PANTALONI,TASCA_GIACCA_ALTA,TASCA_GIACCA_BASSA,BORSA,MARSUPIO,ZAINO}
@DATA
3.45731,7.7909,2.79122,3.77383,2.62412,5.18423,12.87626,3.58835,3.48592,1.24474,1.79613,6.24866,2.49973,2.03774,0.31328,3.25195,8.56839,2.92718,3.21974,0.93121,0.66689,1.92487,1.06315,2.88634,1.59419,0.55232,0.77786,1.11661,0.95355,1.43549,1.22587,0.85397,0.60506,1.24681,0.90926,2.06064,1.50276,0.72927,1.93294,6.01385,2.43181,3.11125,1.25809,0.40437,0.91688,0.71796,0.86297,0.78304,0.94119,1.20197,1.08259,1.85196,1.17209,1.71067,1.08267,0.63289,3.48125,3.39428,-0.39967,-5.60302,0.1635,2.20122,2.20714,-1.01106, TASCA_DESTRA_DIETRO_PANTALONI
1.38055,0.68616,0.82835,1.08459,1.35469,-5.30933,1.1403,1.06785,0.98659,0.86195,-0.17436,1.73774,1.31823,1.19006,2.139,1.18109,0.67064,0.81893,0.82554,1.84015,-0.26002,-7.91764,1.16887,30.44969,-4.49526,-0.14763,0.77572,0.62838,1.0115,0.81006,1.30396,1.60971,0.60174,0.39486,1.02314,0.65619,1.7003,2.59115,1.49834,0.69878,0.83023,0.46637,0.5541,1.1881,0.95335,1.10335,1.12775,1.15735,1.18293,1.02211,1.09934,0.91138,1.3138,0.82902,1.19508,1.44155,1.35999,1.21549,-2.46746,2.78229,0.7412,-3.81496,-1.53321,1.02377, TASCA_DESTRA_DIETRO_PANTALONI
0.99958,0.69171,0.83169,0.63839,0.20221,-27.75317,10.85634,3.2949,2.01736,6.00838,-3.54167,1.98948,1.41049,0.92037,0.47715,2.0825,0.4359,0.66023,0.55753,16.52088,-0.03602,-0.28223,0.47999,7.83618,-13.32688,-1.70069,0.25242,0.58965,1.2597,2.336,4.99054,2.13637,0.06371,0.34768,1.58685,5.45687,24.9055,4.56406,0.12378,0.69505,0.03183,5.61545,0.25713,0.04579,3.67783,1.6401,2.60024,0.44594,0.707,1.58542,0.31645,0.69362,1.14502,2.19191,3.61836,1.65078,1.9666,2.10725,1.42393,-1.34588,-0.83981,-1.28531,-1.59013,1.01692, TASCA_DESTRA_DIETRO_PANTALONI
-1.04401,2.97754,1.72556,1.25351,0.39734,1.05776,10.92809,3.30577,2.5033,0.46579,-0.16258,5.4269,2.32957,1.12496,0.2243,1.64375,2.01359,1.41901,0.77522,1.83825,-0.987,6.42148,-0.63514,-6.50606,0.64351,-0.09891,0.52198,0.74072,1.21603,1.41905,2.32963,1.64169,0.27247,0.54866,1.47872,2.01369,5.42716,2.69513,0.37712,1.11412,0.49358,2.95428,1.30883,0.44303,0.44209,0.62894,2.28354,1.42265,5.16534,3.63078,0.50074,1.11427,1.61697,2.22523,3.22914,1.45115,0.87531,1.63425,-5.04551,1.3085,-1.21804,-0.11178,2.10165,-0.30407, TASCA_DESTRA_DIETRO_PANTALONI
-10.07233,0.58883,0.76735,0.86325,0.10123,-2.23627,2.06116,1.43568,1.75503,18.89465,0.94881,1.04784,1.02364,1.10758,0.55947,1.40298,1.46642,1.21096,1.43904,0.93707,4.50408,-10.6157,-7.17925,-2.3569,-1.59394,0.67629,0.53449,0.74963,0.63367,1.40252,1.18557,0.84531,0.28568,0.56195,0.40154,1.96706,1.40557,0.71455,0.01816,0.15471,0.10051,8.51966,5.53527,0.64971,3.38945,0.85504,0.93047,0.25226,0.27452,1.08822,0.49187,0.7794,0.59988,1.58457,1.21959,0.76967,3.33026,1.41837,1.31168,-1.06235,1.56412,1.49594,0.99502,-0.48367, TASCA_SINISTRA_DAVANTI_PANTALONI
-0.72938,0.00658,0.08115,0.10865,0.81878,0.32882,0.00068,0.02603,0.03015,3.68895,-0.12814,0.14938,0.3865,0.56336,0.76167,0.06991,0.00349,0.0591,0.06698,7.32635,-2.21816,5.69209,-10.43305,-2.56613,4.70346,-1.8329,3.11724,0.20996,1.373,0.06735,0.44045,6.53945,9.71719,0.04408,1.88512,0.00454,0.194,42.76445,2.0628,0.19752,0.17508,0.09575,0.08487,0.88637,9.29372,0.18374,1.56655,0.01977,0.16856,8.52577,3.60358,0.19286,1.62212,0.05352,0.45014,8.41096,0.37556,0.07445,-0.26685,-0.13565,8.55947,0.05257,-7.21528,12.55314, TASCA_SINISTRA_DAVANTI_PANTALONI
-10.16166,0.87662,0.93628,1.27186,0.1345,-3.14129,1.27423,1.12882,1.10183,5.49794,0.87812,1.75249,1.32382,1.67307,0.65326,1.45277,2.12032,1.45613,1.71052,0.9647,3.23487,-11.57212,-6.99468,-3.57731,-2.16228,0.60444,0.82943,0.70726,0.64299,0.8527,0.77522,0.90913,0.68796,0.50021,0.41344,0.72709,0.60096,0.82652,0.11071,0.17772,0.15425,1.60526,1.39332,0.86797,4.52534,0.86314,1.10635,0.19074,0.24448,1.28177,1.15432,0.7602,0.74356,0.65857,0.64415,0.9781,2.98779,1.39032,-13.31526,-1.03971,1.45619,0.29938,-1.09225,-0.73209, TASCA_SINISTRA_DAVANTI_PANTALONI
-124.81492,10.25271,3.20199,2.46462,0.03601,23.2859,3.00902,1.73465,1.75916,1.14429,-44.76199,446.45462,21.12947,14.07866,89.87999,5.65302,14.11585,3.75711,3.92446,2.35777,-5.36011,2.78841,-22.07933,-0.52022,4.1192,-7.91824,1.84589,0.15154,0.85225,0.0821,0.4617,5.62387,3.40732,0.02296,0.72633,0.00674,0.21317,31.6279,0.09139,0.003,0.01755,0.03282,0.19205,5.85172,2.90401,7.48623,1.14917,2.57789,0.39572,0.1535,1.40102,0.17506,0.62802,0.12495,0.44826,3.58741,43.39476,6.27597,-0.57304,34.99696,31.84958,2.53821,19.40947,5.40741, TASCA_SINISTRA_DAVANTI_PANTALONI
-0.92069,0.00398,0.06311,0.06495,0.96384,0.35466,0.00049,0.02221,0.02128,1.21176,3.60878,0.61486,0.78413,0.74186,1.16256,0.09618,0.00181,0.04256,0.06317,10.8985,-2.59595,-0.25513,-9.57284,0.09828,3.6876,37.52216,2.84141,0.08049,1.48286,0.02833,0.52188,18.42366,8.07361,0.00648,2.19888,0.0008,0.27235,339.43143,2.74047,0.07957,0.08253,0.02904,0.03012,1.03713,3.44537,0.09598,0.93319,0.02786,0.27085,9.72267,3.05248,0.08755,1.02814,0.02868,0.33682,11.74371,0.74977,0.09556,0.11572,0.49291,-0.88771,-0.17321,-1.40974,1.96954, TASCA_SINISTRA_DAVANTI_PANTALONI
-274.431,17.07241,4.13188,8.25932,0.39662,31.69942,17.28382,4.15738,6.15158,0.30038,1.66472,222.43974,14.91441,32.62474,0.83754,4.03915,204.39835,14.29679,24.04067,0.05984,-8.65729,-164.85068,-67.94283,19.04184,7.84805,0.41215,0.99387,0.27704,0.28901,0.27875,0.29079,1.0432,0.98777,0.07675,0.08353,0.0777,0.08456,1.08827,1.40142,0.14443,3.23544,0.10306,2.30869,22.40072,1.06135,0.305,0.48814,0.28737,0.45992,1.60046,1.34263,0.25316,0.34356,0.18856,0.25588,1.35706,4.2545,3.96945,-0.84803,-12.43587,0.95167,-7.2585,-0.70166,-2.64405, TASCA_SINISTRA_DAVANTI_PANTALONI
-4.4252,9.30118,3.04978,2.00672,48.1951,1.78656,0.78411,0.8855,0.92657,0,-0.36949,2.5777,1.60552,0.81554,0,1.68369,2.8523,1.68887,0.96447,2.05089,-2.47694,11.97636,-2.62828,-4.83515,1.0611,-0.21946,3.44414,1.89956,1.80581,0.55153,0.52431,0.95065,11.86212,3.60832,3.26094,0.30419,0.2749,0.90373,5.47321,17.8171,2.63219,3.25533,0.48092,0.14773,0,0,0.11201,0,0,0,2.16576,2.46059,2.08065,1.13613,0.9607,0.84559,1.48413,1.65812,-5.16308,-2.74263,10.95866,0.33812,13.06426,-0.62611, TASCA_SINISTRA_DAVANTI_PANTALONI
0.0232,0.3719,0.60984,0.61177,2.30084,1.94514,0.28181,0.53086,0.56127,1.31286,0.68833,0.65006,0.80626,0.61469,5.64107,0.46037,0.70882,0.84192,0.98748,0.45403,0.01193,0.03371,0.0504,2.82588,4.22516,1.49517,1.14878,0.75638,0.72435,0.65842,0.63054,0.95765,1.3197,0.57211,0.52468,0.43352,0.39757,0.91709,1.79239,1.13301,2.54807,0.63212,1.4216,2.24895,1.02274,2.77784,0.50281,2.71608,0.49163,0.18101,1.08998,0.99525,0.61953,0.91309,0.56839,0.62249,0.10142,0.46681,-121.1487,-14.30008,0.24975,1.21374,1.5066,4.23858, TASCA_SINISTRA_DAVANTI_PANTALONI
